industry,trades,avg_net_return,median_net_return,win_rate,profit_factor,net_pnl,max_drawdown,trade_share,pnl_share,top_symbols_by_trades,top_symbols_by_pnl
Electronic Components,307,0.02399770854033075,0.0184140800405268,0.8078175895765473,16.68612027839518,567813.5699999998,-4655.5664000000015,0.21881682109764788,0.2924890567426539,1815 富喬 (32); 4939 亞電 (25); 5328 華容 (24); 3294 英濟 (21); 5340 建榮 (20),"5328 華容 (78,058); 8043 蜜望實 (58,409); 4939 亞電 (55,463); 5340 建榮 (53,695); 8042 金山電 (36,055)"
Computer/Peripheral,153,0.022404936164201552,0.0196162401960784,0.8104575163398693,19.932244579557466,274633.5347999999,-4514.402000000002,0.1090520313613685,0.1414677418568084,4931 新盛力 (45); 3323 加百裕 (32); 8234 新漢 (24); 3709 鑫聯大投控 (20); 1569 濱川 (17),"4931 新盛力 (104,969); 3709 鑫聯大投控 (58,045); 3323 加百裕 (46,728); 8234 新漢 (35,756); 5386 青雲 (22,135)"
Optoelectronics,185,0.0198094906082485,0.0253868787878787,0.772972972972973,4.230763464499044,264416.44909999997,-49615.438500000004,0.13186029935851745,0.13620477190163133,3297 杭特 (28); 8111 立碁 (26); 8064 東捷 (24); 6244 茂迪 (20); 3434 哲固 (20),"3297 杭特 (81,411); 6244 茂迪 (37,371); 8111 立碁 (35,432); 8064 東捷 (26,640); 3128 昇銳 (20,248)"
Electric Machinery,102,0.025769816734140694,0.0172396327433628,0.8627450980392157,19.388889214393004,182662.54080000008,-7103.619999999995,0.07270135424091233,0.09409214059609138,3162 精確 (31); 3379 彬台 (25); 4510 高鋒 (23); 6125 廣運 (5); 6603 富強鑫 (5),"3379 彬台 (81,888); 4510 高鋒 (38,974); 3162 精確 (27,034); 6425 易發 (26,451); 2070 精湛 (11,360)"
Communications/Internet,86,0.023000605661222796,0.015266840989952301,0.6511627906976745,6.203825452035682,159299.3174,-15647.672000000006,0.06129722024233785,0.08205740325310408,4903 聯光通 (19); 6530 創威 (19); 4909 新復興 (15); 3221 台嘉碩 (10); 3234 光環 (10),"4903 聯光通 (71,498); 6530 創威 (35,248); 3221 台嘉碩 (23,890); 4908 前鼎 (21,110); 3234 光環 (2,516)"
Semiconductor,238,0.008057601899890871,0.0033667622950819,0.6008403361344538,2.294433210184636,157602.81004999985,-35887.21100000004,0.16963649322879543,0.08118350755779952,5351 鈺創 (43); 8088 品安 (25); 6147 頎邦 (20); 6182 合晶 (20); 4991 環宇-KY (15),"5351 鈺創 (82,096); 8088 品安 (45,926); 4973 廣穎電通 (31,417); 4991 環宇-KY (23,214); 5443 均豪 (12,805)"
Electronic Distribution,84,0.024605799793974745,0.0324710850340136,0.8214285714285714,8.922228632469979,148599.55574999994,-12450.230500000005,0.05987170349251604,0.07654579987176936,8096 擎亞 (60); 6265 方土昶 (15); 6227 茂綸 (9),"8096 擎亞 (87,997); 6265 方土昶 (37,367); 6227 茂綸 (23,235)"
Information Services,91,0.021753510623687963,0.0230799612486544,0.6923076923076923,5.519992875303385,138065.81029999992,-10971.930499999988,0.06486101211689238,0.07111971385794316,6148 驊宏資 (28); 6140 訊達電腦 (23); 6163 華電網 (20); 5201 凱衛 (15); 5202 力新 (5),"6140 訊達電腦 (62,735); 6148 驊宏資 (34,821); 5201 凱衛 (24,780); 6163 華電網 (9,062); 5202 力新 (6,669)"
Other,44,0.014652469097543528,0.0090367361111111,0.8181818181818182,11.112321325314985,40392.54809999999,-3156.6584999999977,0.03136136849607983,0.02080679102685284,4541 晟田 (23); 8936 國統 (10); 5314 世紀* (6); 1584 精剛 (5),"4541 晟田 (39,484); 1584 精剛 (3,735); 5314 世紀* (-660); 8936 國統 (-2,166)"
Other Electronics,40,0.011778182691767888,0.010661057354925702,0.625,7.524290934595999,31366.155,-3044.331000000002,0.02851033499643621,0.016157164207248303,3663 鑫科 (15); 4577 達航科技 (5); 3580 友威科 (5); 8431 匯鑽科 (5); 3498 陽程 (5),"4577 達航科技 (16,052); 3663 鑫科 (8,683); 3580 友威科 (7,850); 8431 匯鑽科 (3,203); 3498 陽程 (-1,763)"
Digital/Cloud,10,0.0243470915696191,0.024347091569619103,1.0,inf,17547.525999999998,0.0,0.007127583749109052,0.009038986736275421,6763 綠界科技* (10),"6763 綠界科技* (17,548)"
Plastics,9,0.01424335722819591,-0.004798,0.4444444444444444,5.338861026181723,6901.119000000001,-1590.5370000000003,0.006414825374198147,0.0035548671138289412,4303 信立 (9),"4303 信立 (6,901)"
Building Materials/Construction,3,-0.0059147051569506,-0.0059147051569506,0.0,0.0,-1582.7751000000003,-1582.7751000000003,0.0021382751247327157,-0.0008153105534881104,5508 永信建 (3),"5508 永信建 (-1,583)"
Chemical,11,-0.006937510104443492,0.0078691803468208,0.5454545454545454,0.41180718413867917,-7736.0271999999995,-13152.196,0.007840342124019958,-0.003984940512540964,6509 聚和 (5); 3430 奇鈦科 (3); 4721 美琪瑪 (3),"3430 奇鈦科 (3,374); 4721 美琪瑪 (2,042); 6509 聚和 (-13,152)"
Biotechnology/Medical,35,-0.004719077058534772,-0.004798,0.42857142857142855,0.45878785079770834,-11964.754500000003,-22107.328,0.024946543121881683,-0.006163219660041632,4743 合一 (10); 6547 高端疫苗 (10); 3205 佰研 (5); 4123 晟德 (5); 6499 益安 (5),"3205 佰研 (6,204); 4123 晟德 (2,115); 4743 合一 (-11); 6499 益安 (-8,616); 6547 高端疫苗 (-11,656)"
Green Energy/Environmental,5,-0.0712047333333333,-0.0712047333333333,0.0,0.0,-26701.774999999998,-26701.774999999998,0.003563791874554526,-0.013754473995935988,8390 金益鼎 (5),"8390 金益鼎 (-26,702)"
