window_id,selected_rank,config_hash,trade_date,daily_trades,daily_net_pnl,daily_buy_notional,daily_return,cumulative_net_pnl,overall_cumulative_net_pnl
WF001,2,08357751d37bd0c3,2024-01-15,1,-1925.1016560000146,82800.0,-0.023250020000000177,-1925.1016560000146,-1925.1016560000146
WF001,3,1bd18df37f30fffe,2024-01-15,1,-1925.1016560000146,82800.0,-0.023250020000000177,-1925.1016560000146,-3850.203312000029
WF001,4,054289ae6e90583a,2024-01-15,1,-1925.1016560000146,82800.0,-0.023250020000000177,-1925.1016560000146,-5775.304968000044
WF001,1,c82e9c96361be785,2024-01-16,1,2085.1313490000002,78300.0,0.026630030000000002,2085.1313490000002,-3690.173619000044
WF001,2,08357751d37bd0c3,2024-01-16,1,-1315.951132,56600.0,-0.02325002,-3241.0527880000145,-5006.124751000044
WF001,5,5615b3b367004925,2024-01-16,1,-1315.951132,56600.0,-0.02325002,-1315.951132,-6322.075883000044
WF001,2,08357751d37bd0c3,2024-01-17,1,-1997.176718,85900.0,-0.02325002,-5238.229506000014,-8319.252601000044
WF001,5,5615b3b367004925,2024-01-17,1,-1997.176718,85900.0,-0.02325002,-3313.12785,-10316.429319000044
WF001,3,1bd18df37f30fffe,2024-01-18,1,1810.84204,68000.0,0.02663003,-114.2596160000146,-8505.587279000045
WF001,4,054289ae6e90583a,2024-01-18,1,1810.84204,68000.0,0.02663003,-114.2596160000146,-6694.745239000045
WF001,2,08357751d37bd0c3,2024-01-23,1,-2243.62693,96500.0,-0.02325002,-7481.856436000015,-8938.372169000046
WF001,5,5615b3b367004925,2024-01-23,1,-2243.62693,96500.0,-0.02325002,-5556.754779999999,-11181.999099000046
WF001,1,c82e9c96361be785,2024-01-29,1,-2057.62677,88500.0,-0.02325002,27.504579000000376,-13239.625869000047
WF001,1,c82e9c96361be785,2024-01-30,1,-1248.5260739999926,53700.0,-0.02325001999999986,-1221.0214949999922,-14488.151943000039
WF001,2,08357751d37bd0c3,2024-02-02,1,-1941.37667,83500.0,-0.02325002,-9423.233106000014,-16429.52861300004
WF001,5,5615b3b367004925,2024-02-02,1,-1941.37667,83500.0,-0.02325002,-7498.131449999999,-18370.90528300004
WF001,2,08357751d37bd0c3,2024-02-16,1,2276.867565,85500.0,0.02663003,-7146.365541000014,-16094.03771800004
WF001,5,5615b3b367004925,2024-02-16,1,2276.867565,85500.0,0.02663003,-5221.2638849999985,-13817.17015300004
WF001,1,c82e9c96361be785,2024-02-22,1,-1966.9516920000146,84600.0,-0.023250020000000173,-3187.973187000007,-15784.121845000054
WF001,1,c82e9c96361be785,2024-02-26,2,-4172.216089,179450.0,-0.023250019999999996,-7360.189276000006,-19956.337934000054
WF001,1,c82e9c96361be785,2024-02-27,1,-1585.651364,68200.0,-0.02325002,-8945.840640000006,-21541.989298000055
WF001,3,1bd18df37f30fffe,2024-02-27,1,-2204.101896,94800.0,-0.02325002,-2318.361512000015,-23746.091194000055
WF001,4,054289ae6e90583a,2024-02-27,1,-2204.101896,94800.0,-0.02325002,-2318.361512000015,-25950.193090000055
WF001,1,c82e9c96361be785,2024-03-01,2,-628.864153,144400.0,-0.004355014909972299,-9574.704793000006,-26579.057243000054
WF001,1,c82e9c96361be785,2024-03-04,1,1484.5199000000073,64099.99999999999,0.023159436817472814,-8090.184892999999,-25094.537343000047
WF001,1,c82e9c96361be785,2024-03-05,1,-2127.37683,91500.0,-0.023250020000000003,-10217.561722999999,-27221.91417300005
WF001,1,c82e9c96361be785,2024-03-07,1,-2104.1268099999998,90500.0,-0.023250019999999996,-12321.688532999999,-29326.04098300005
WF001,1,c82e9c96361be785,2024-03-08,1,-2208.7519,95000.0,-0.023250020000000003,-14530.440433,-31534.79288300005
WF001,3,1bd18df37f30fffe,2024-03-22,2,-3706.0531880000144,159400.0,-0.02325002000000009,-6024.414700000029,-35240.846071000065
WF001,4,054289ae6e90583a,2024-03-22,2,-3706.0531880000144,159400.0,-0.02325002000000009,-6024.414700000029,-38946.89925900008
WF001,1,c82e9c96361be785,2024-03-26,1,-1511.2513000000072,65000.0,-0.02325002000000011,-16041.691733000007,-40458.15055900009
WF002,5,5615b3b367004925,2024-04-09,1,1629.757836,61200.0,0.02663003,1629.757836,-38828.39272300009
WF002,1,a7c0babd69843eb6,2024-04-11,1,-2013.451732,86600.0,-0.02325002,-2013.451732,-40841.84445500009
WF002,2,2e07b7c52cc76831,2024-04-11,1,-2013.451732,86600.0,-0.02325002,-2013.451732,-42855.296187000095
WF002,3,1bd18df37f30fffe,2024-04-11,1,-2013.451732,86600.0,-0.02325002,-2013.451732,-44868.747919000096
WF002,4,054289ae6e90583a,2024-04-11,1,-2013.451732,86600.0,-0.02325002,-2013.451732,-46882.1996510001
WF002,1,a7c0babd69843eb6,2024-04-12,1,-1448.4762460000072,62300.0,-0.023250020000000114,-3461.927978000007,-48330.6758970001
WF002,2,2e07b7c52cc76831,2024-04-12,1,-1448.4762460000072,62300.0,-0.023250020000000114,-3461.927978000007,-49779.15214300011
WF002,3,1bd18df37f30fffe,2024-04-12,1,-1448.4762460000072,62300.0,-0.023250020000000114,-3461.927978000007,-51227.628389000114
WF002,4,054289ae6e90583a,2024-04-12,1,-1448.4762460000072,62300.0,-0.023250020000000114,-3461.927978000007,-52676.10463500012
WF002,3,1bd18df37f30fffe,2024-04-15,1,2069.153331,77700.0,0.02663003,-1392.774647000007,-50606.95130400012
WF002,4,054289ae6e90583a,2024-04-15,1,2069.153331,77700.0,0.02663003,-1392.774647000007,-48537.79797300012
WF002,3,1bd18df37f30fffe,2024-04-23,1,2013.230268,75600.0,0.02663003,620.455620999993,-46524.56770500012
WF002,4,054289ae6e90583a,2024-04-23,1,2013.230268,75600.0,0.02663003,620.455620999993,-44511.33743700012
WF002,5,5615b3b367004925,2024-04-25,1,2061.1643220000146,77400.0,0.02663003000000019,3690.922158000015,-42450.17311500011
WF002,3,1bd18df37f30fffe,2024-05-03,1,-2185.50188,94000.0,-0.023250019999999996,-1565.0462590000068,-44635.67499500011
WF002,4,054289ae6e90583a,2024-05-03,1,-2185.50188,94000.0,-0.023250019999999996,-1565.0462590000068,-46821.17687500011
WF002,5,5615b3b367004925,2024-05-03,1,2497.896814,93800.0,0.026630030000000002,6188.8189720000155,-44323.28006100011
WF002,5,5615b3b367004925,2024-05-07,2,-2955.0775419999854,127100.0,-0.023250019999999885,3233.74143000003,-47278.35760300009
WF002,1,a7c0babd69843eb6,2024-05-30,1,-1878.601616,80800.0,-0.02325002,-5340.529594000007,-49156.95921900009
WF002,2,2e07b7c52cc76831,2024-05-30,1,-1878.601616,80800.0,-0.02325002,-5340.529594000007,-51035.56083500009
WF002,3,1bd18df37f30fffe,2024-05-30,1,-1878.601616,80800.0,-0.02325002,-3443.647875000007,-52914.16245100009
WF002,4,054289ae6e90583a,2024-05-30,1,-1878.601616,80800.0,-0.02325002,-3443.647875000007,-54792.76406700009
WF003,5,fe08a7982f9da8e8,2024-07-04,1,1917.3621600000001,72000.0,0.026630030000000002,1917.3621600000001,-52875.401907000094
WF003,3,08357751d37bd0c3,2024-07-05,1,-1601.926378,68900.0,-0.023250020000000003,-1601.926378,-54477.3282850001
WF003,4,5615b3b367004925,2024-07-05,1,-1601.926378,68900.0,-0.023250020000000003,-1601.926378,-56079.2546630001
WF003,5,fe08a7982f9da8e8,2024-07-05,1,-1601.926378,68900.0,-0.023250020000000003,315.435782,-57681.181041000105
WF003,3,08357751d37bd0c3,2024-07-08,2,-3735.1157130000147,160650.0,-0.02325002000000009,-5337.042091000015,-61416.29675400012
WF003,4,5615b3b367004925,2024-07-08,2,-3735.1157130000147,160650.0,-0.02325002000000009,-5337.042091000015,-65151.41246700013
WF003,5,fe08a7982f9da8e8,2024-07-08,2,-3735.1157130000147,160650.0,-0.02325002000000009,-3419.6799310000147,-68886.52818000015
WF003,1,22927992ebd6f1eb,2024-08-06,1,2603.0854325000146,97750.0,0.026630030000000148,2603.0854325000146,-66283.44274750014
WF003,2,012ca57979738299,2024-08-06,1,2603.0854325000146,97750.0,0.026630030000000148,2603.0854325000146,-63680.35731500013
WF003,3,08357751d37bd0c3,2024-08-21,1,-2046.00176,88000.0,-0.02325002,-7383.043851000015,-65726.35907500013
WF003,4,5615b3b367004925,2024-08-21,1,-2046.00176,88000.0,-0.02325002,-7383.043851000015,-67772.36083500013
WF003,5,fe08a7982f9da8e8,2024-08-21,2,-4145.478566,178300.0,-0.02325002,-7565.158497000015,-71917.83940100014
WF003,3,08357751d37bd0c3,2024-08-22,1,-1343.851156,57800.0,-0.02325002,-8726.895007000016,-73261.69055700014
WF003,4,5615b3b367004925,2024-08-22,1,-1343.851156,57800.0,-0.02325002,-8726.895007000016,-74605.54171300014
WF003,5,fe08a7982f9da8e8,2024-08-22,1,-1343.851156,57800.0,-0.02325002,-8909.009653000016,-75949.39286900015
WF003,3,08357751d37bd0c3,2024-09-13,1,-2092.5018,90000.0,-0.02325002,-10819.396807000016,-78041.89466900015
WF003,4,5615b3b367004925,2024-09-13,1,-2092.5018,90000.0,-0.02325002,-10819.396807000016,-80134.39646900014
WF003,5,fe08a7982f9da8e8,2024-09-13,1,-2092.5018,90000.0,-0.02325002,-11001.511453000016,-82226.89826900014
WF004,3,1bd18df37f30fffe,2024-10-01,1,-1796.064045,77250.0,-0.02325002,-1796.064045,-84022.96231400015
WF004,4,054289ae6e90583a,2024-10-01,1,-1796.064045,77250.0,-0.02325002,-1796.064045,-85819.02635900016
WF004,1,22927992ebd6f1eb,2024-10-23,2,-580.3715510000145,160550.0,-0.00361489598878863,-580.3715510000145,-86399.39791000017
WF004,2,012ca57979738299,2024-10-23,2,-580.3715510000145,160550.0,-0.00361489598878863,-580.3715510000145,-86979.76946100019
WF004,3,1bd18df37f30fffe,2024-10-23,2,-580.3715510000145,160550.0,-0.00361489598878863,-2376.435596000015,-87560.14101200021
WF004,4,054289ae6e90583a,2024-10-23,2,-580.3715510000145,160550.0,-0.00361489598878863,-2376.435596000015,-88140.51256300023
WF004,5,2c79079698d74541,2024-10-23,2,-580.3715510000145,160550.0,-0.00361489598878863,-580.3715510000145,-88720.88411400025
WF004,1,22927992ebd6f1eb,2024-11-06,1,1384.76156,52000.0,0.02663003,804.3900089999854,-87336.12255400025
WF004,2,012ca57979738299,2024-11-06,1,1384.76156,52000.0,0.02663003,804.3900089999854,-85951.36099400025
WF004,3,1bd18df37f30fffe,2024-11-06,1,1384.76156,52000.0,0.02663003,-991.6740360000149,-84566.59943400025
WF004,4,054289ae6e90583a,2024-11-06,1,1384.76156,52000.0,0.02663003,-991.6740360000149,-83181.83787400025
WF004,5,2c79079698d74541,2024-11-06,1,1384.76156,52000.0,0.02663003,804.3900089999854,-81797.07631400025
WF004,1,22927992ebd6f1eb,2024-11-12,1,-1855.351596,79800.0,-0.02325002,-1050.9615870000146,-83652.42791000025
WF004,2,012ca57979738299,2024-11-12,1,-1855.351596,79800.0,-0.02325002,-1050.9615870000146,-85507.77950600024
WF004,3,1bd18df37f30fffe,2024-11-12,1,-1855.351596,79800.0,-0.02325002,-2847.025632000015,-87363.13110200023
WF004,4,054289ae6e90583a,2024-11-12,1,-1855.351596,79800.0,-0.02325002,-2847.025632000015,-89218.48269800023
WF004,5,2c79079698d74541,2024-11-12,1,-1855.351596,79800.0,-0.02325002,-1050.9615870000146,-91073.83429400022
WF004,5,2c79079698d74541,2024-12-04,1,-2162.25186,93000.0,-0.02325002,-3213.2134470000146,-93236.08615400022
WF005,1,204d99bae0f52d4d,2025-02-25,1,-2139.00184,92000.0,-0.02325002,-2139.00184,-95375.08799400022
WF005,2,1aa0aa9ce9dc1062,2025-02-25,1,-2139.00184,92000.0,-0.02325002,-2139.00184,-97514.08983400022
WF005,3,22927992ebd6f1eb,2025-02-25,1,-2139.00184,92000.0,-0.02325002,-2139.00184,-99653.09167400021
WF005,4,012ca57979738299,2025-02-25,1,-2139.00184,92000.0,-0.02325002,-2139.00184,-101792.09351400021
WF005,1,204d99bae0f52d4d,2025-03-04,1,-1302.0011200000072,56000.0,-0.023250020000000128,-3441.002960000007,-103094.09463400021
WF005,2,1aa0aa9ce9dc1062,2025-03-04,1,-1302.0011200000072,56000.0,-0.023250020000000128,-3441.002960000007,-104396.09575400021
WF005,3,22927992ebd6f1eb,2025-03-28,1,-2166.901864,93200.0,-0.02325002,-4305.903704,-106562.99761800021
WF005,4,012ca57979738299,2025-03-28,1,-2166.901864,93200.0,-0.02325002,-4305.903704,-108729.89948200021
WF005,5,28ba61d1785bd9cf,2025-03-28,1,-2166.901864,93200.0,-0.02325002,-2166.901864,-110896.80134600021
WF006,5,28ba61d1785bd9cf,2025-04-14,1,-1865.814105,80250.0,-0.02325002,-1865.814105,-112762.61545100021
WF006,3,22927992ebd6f1eb,2025-05-12,1,2575.123901,96700.0,0.02663003,2575.123901,-110187.49155000021
WF006,4,012ca57979738299,2025-05-12,1,2575.123901,96700.0,0.02663003,2575.123901,-107612.36764900021
WF006,5,28ba61d1785bd9cf,2025-05-12,1,2575.123901,96700.0,0.02663003,709.309796,-105037.24374800021
WF006,1,204d99bae0f52d4d,2025-06-04,1,-2220.37691,95500.0,-0.02325002,-2220.37691,-107257.62065800022
WF006,2,1aa0aa9ce9dc1062,2025-06-04,1,-2220.37691,95500.0,-0.02325002,-2220.37691,-109477.99756800022
WF006,1,204d99bae0f52d4d,2025-06-09,1,-1850.701592,79600.0,-0.02325002,-4071.078502,-111328.69916000022
WF006,2,1aa0aa9ce9dc1062,2025-06-09,1,-1850.701592,79600.0,-0.02325002,-4071.078502,-113179.40075200022
WF007,1,22927992ebd6f1eb,2025-07-03,1,-1362.451172,58600.0,-0.02325002,-1362.451172,-114541.85192400022
WF007,2,012ca57979738299,2025-07-03,1,-1362.451172,58600.0,-0.02325002,-1362.451172,-115904.30309600022
WF007,3,28ba61d1785bd9cf,2025-07-03,1,-1362.451172,58600.0,-0.02325002,-1362.451172,-117266.75426800022
WF007,4,d3d2c7b9ddd218d9,2025-07-03,1,-1362.451172,58600.0,-0.02325002,-1362.451172,-118629.20544000022
WF007,3,28ba61d1785bd9cf,2025-07-24,1,-1646.101416,70800.0,-0.02325002,-3008.552588,-120275.30685600023
WF007,4,d3d2c7b9ddd218d9,2025-07-24,1,-1646.101416,70800.0,-0.02325002,-3008.552588,-121921.40827200023
WF007,1,22927992ebd6f1eb,2025-08-04,1,-1750.7265059999854,75300.0,-0.023250019999999805,-3113.1776779999855,-123672.13477800023
WF007,2,012ca57979738299,2025-08-04,1,-1750.7265059999854,75300.0,-0.023250019999999805,-3113.1776779999855,-125422.86128400022
WF007,5,204d99bae0f52d4d,2025-08-04,1,-1750.7265059999854,75300.0,-0.023250019999999805,-1750.7265059999854,-127173.58779000021
WF007,5,204d99bae0f52d4d,2025-08-13,1,2279.5305679999856,85600.0,0.026630029999999832,528.8040620000002,-124894.05722200022
WF007,5,204d99bae0f52d4d,2025-08-15,1,2074.4793370000143,77900.0,0.026630030000000183,2603.2833990000145,-122819.57788500021
WF007,1,22927992ebd6f1eb,2025-09-09,1,-2106.4518120000002,90600.0,-0.023250020000000003,-5219.629489999986,-124926.02969700021
WF007,2,012ca57979738299,2025-09-09,1,-2106.4518120000002,90600.0,-0.023250020000000003,-5219.629489999986,-127032.48150900021
WF007,3,28ba61d1785bd9cf,2025-09-09,1,-2106.4518120000002,90600.0,-0.023250020000000003,-5115.0044,-129138.93332100021
WF007,4,d3d2c7b9ddd218d9,2025-09-09,1,-2106.4518120000002,90600.0,-0.023250020000000003,-5115.0044,-131245.3851330002
WF007,5,204d99bae0f52d4d,2025-09-16,1,-2284.314465,98250.0,-0.02325002,318.96893400001454,-133529.6995980002
WF007,5,204d99bae0f52d4d,2025-09-17,1,2316.81261,87000.0,0.02663003,2635.7815440000145,-131212.88698800022
WF008,5,204d99bae0f52d4d,2025-10-07,1,-2109.939315,90750.0,-0.02325002,-2109.939315,-133322.8263030002
WF008,1,63e119adb52ac9a3,2025-10-17,1,-2011.12673,86500.0,-0.02325002,-2011.12673,-135333.9530330002
WF008,2,feeab83f74a20ab0,2025-10-17,1,-2011.12673,86500.0,-0.02325002,-2011.12673,-137345.0797630002
WF009,5,204d99bae0f52d4d,2026-01-26,1,-1939.051668,83400.0,-0.02325002,-1939.051668,-139284.1314310002
WF009,3,63e119adb52ac9a3,2026-02-26,1,-2043.6767579999855,87900.0,-0.023250019999999837,-2043.6767579999855,-141327.80818900018
WF009,4,feeab83f74a20ab0,2026-02-26,1,-2043.6767579999855,87900.0,-0.023250019999999837,-2043.6767579999855,-143371.48494700016
WF010,3,63e119adb52ac9a3,2026-04-02,1,-1985.551708,85400.0,-0.02325002,-1985.551708,-145357.03665500018
WF010,4,feeab83f74a20ab0,2026-04-02,1,-1985.551708,85400.0,-0.02325002,-1985.551708,-147342.5883630002
WF010,3,63e119adb52ac9a3,2026-04-14,1,-1439.1944,73400.0,-0.019607553133514987,-3424.7461080000003,-148781.7827630002
WF010,4,feeab83f74a20ab0,2026-04-14,1,-1439.1944,73400.0,-0.019607553133514987,-3424.7461080000003,-150220.9771630002
WF010,3,63e119adb52ac9a3,2026-04-22,1,1975.948226,74200.0,0.02663003,-1448.7978820000003,-148245.0289370002
WF010,4,feeab83f74a20ab0,2026-04-22,1,1975.948226,74200.0,0.02663003,-1448.7978820000003,-146269.0807110002
WF010,1,9808688add15a049,2026-06-10,1,-1641.4514120000144,70600.0,-0.023250020000000204,-1641.4514120000144,-147910.53212300022
WF010,2,e012d159445e8148,2026-06-10,1,-1641.4514120000144,70600.0,-0.023250020000000204,-1641.4514120000144,-149551.98353500024
WF010,5,204d99bae0f52d4d,2026-06-10,1,-1641.4514120000144,70600.0,-0.023250020000000204,-1641.4514120000144,-151193.43494700026
WF010,3,63e119adb52ac9a3,2026-06-23,1,-2092.5018,90000.0,-0.02325002,-3541.2996820000003,-153285.93674700026
WF010,4,feeab83f74a20ab0,2026-06-23,1,-2092.5018,90000.0,-0.02325002,-3541.2996820000003,-155378.43854700026
